"Id","Eventable type","Eventable","Event type","Title","Description","Date","Url"
"8622","Legislation","9703","Passed/Approved","Approved","","18/08/2016",""
"8621","Legislation","9702","Passed/Approved","Approved","","27/10/2016",""
"8620","Legislation","9697","Passed/Approved","Approved","","22/01/2015",""
"8619","Legislation","9701","Passed/Approved","Approved","","31/12/2013",""
"8618","Legislation","9700","Passed/Approved","Approved","","05/10/2012",""
"8617","Legislation","9699","Passed/Approved","Law passed","","19/06/2020",""
"8615","Legislation","9697","Passed/Approved","Approved","","23/08/2016",""
"8614","Legislation","9696","Passed/Approved","Approved","","17/04/2019",""
"8613","Legislation","9695","Passed/Approved","Passed","","05/06/2019",""
"8612","Legislation","1201","Amended","Amended ","Amended by Directive 2019/944","05/06/2019",""
"8611","Legislation","9694","Passed/Approved","Approved","","11/12/2018",""
"8610","Legislation","9693","Passed/Approved","Released","","20/07/2016",""
"8609","Legislation","9692","Passed/Approved","Document approved","","20/12/2013",""
"8608","Legislation","9691","Passed/Approved","Approved","","01/01/2017",""
"8607","Legislation","9690","Passed/Approved","Approved","","31/03/2015",""
"8606","Legislation","9689","Passed/Approved","Approved","","01/10/1978",""
"8573","Legislation","9656","Passed/Approved","Approved","","02/01/1908",""
"8572","Legislation","9655","Passed/Approved","Approved","","01/01/1937",""
"8571","Legislation","9654","Passed/Approved","Law passed","","23/10/2008",""
"8570","Legislation","9653","Amended","Law amended","","30/11/2011",""
"8569","Legislation","9653","Passed/Approved","Law passed","","01/01/1981",""
"8568","Legislation","9652","Amended","Law amended","","12/12/1988",""
"8567","Legislation","9652","Passed/Approved","Law passed","","01/01/1980",""
"8566","Legislation","9651","Passed/Approved","Approved","","28/12/2010",""
"8565","Legislation","9650","Passed/Approved","Approved","","01/01/2016",""
"8564","Legislation","9649","Passed/Approved","Approved","","01/01/2014",""
"8563","Legislation","1554","Passed/Approved","Approved","","24/06/2016",""
"8562","Legislation","1554","Passed/Approved","Approved","","06/02/2011",""
"8561","Legislation","1554","Passed/Approved","Approved","","17/05/2006",""
"8560","Legislation","1554","Passed/Approved","Law passed","","27/07/2015",""
"8559","Legislation","1564","Amended","Last amended","","08/09/2020",""
"8558","Legislation","9648","Passed/Approved","Passed","","27/07/2015",""
"8557","Legislation","1546","Passed/Approved","Order 24 approved","","16/05/2017",""
"8556","Legislation","9639","Passed/Approved","Approved","","01/01/1991",""
"8555","Legislation","9647","Passed/Approved","Approved","","01/01/2017",""
"8554","Legislation","9646","Passed/Approved","Approved","","22/06/2015",""
"8553","Legislation","9645","Passed/Approved","Approved","","01/01/2016",""
"8552","Legislation","9644","Passed/Approved","Approved","","01/12/2013",""
"8551","Legislation","9643","Passed/Approved","Approved","","01/12/2011",""
"8550","Legislation","9642","Passed/Approved","Approved","","01/01/2016",""
"8548","Legislation","9640","Amended","Amended","","26/02/2009",""
"8547","Legislation","9638","Passed/Approved","Approved","","01/11/2013",""
"8546","Legislation","9637","Passed/Approved","Approved","","01/01/2015",""
"8545","Legislation","9636","Passed/Approved","Passed","","23/11/2011",""
"8544","Legislation","9634","Passed/Approved","Approved","","01/01/2001",""
